"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","3학년","남자","","9.059","","4.4","","12.5","","","7.9","","24.5","","1",".7","10","6.7","39","26","75","50","25","16.7","150"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","1학년","남자","50.8","0.00","","12.8","","70","75.5","52.6","7.7","","23.7","","25","13.2","62","32.6","72","37.9","29","15.3","2","1.1","190"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","2학년","남자","63.6","0.00","","11","","","66.8","","7.5","","24.1","","27","12.3","69","31.4","90","40.9","29","13.2","5","2.3","220"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","3학년","남자","71.8","0.00","","12.5","","","70","","7.4","","24","","38","18.7","80","39.4","64","31.5","18","8.9","3","1.5","203"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","1학년","여자","47","0.00","","17.3","","","","28.6","","156.9","22","","13","6.7","109","56.5","67","34.7","4","2.1","0","0","193"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","2학년","여자","42.9","0.00","","16","","","","29","","147.9","22.8","","6","2.9","75","36.1","109","52.4","18","8.7","0","0","208"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","3학년","여자","40","0.00","","16.8","","","","25","","140.4","22.3","","3","1.3","56","24.9","124","55.1","40","17.8","2",".9","225"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","1학년","남자","38.6","0.00","","7.6","","19.6","44","","8.7","205","24.4","","8","4","28","14.1","72","36.4","59","29.8","31","15.7","198"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","2학년","남자","69.5","0.00","","13.7","","33.4","","47.2","7.4","","24.5","","34","15.9","84","39.3","68","31.8","23","10.7","5","2.3","214"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","3학년","남자","32.4","0.00","","12.2","","30.5","","","7.9","","24.4","","3","1.3","36","15.8","90","39.5","73","32","26","11.4","228"
